Timestamp,User,Module,Event,Mark
2025-01-07 22:07:30,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:07:32,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:07:36,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:07:39,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:07:43,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 22:07:45,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:07:47,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-07 22:07:47,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 22:10:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:11:04,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:11:04,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:11:06,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:11:06,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:11:07,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:11:11,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-07 22:11:11,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 22:11:22,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:23:33,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:23:35,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:23:50,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:23:54,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:24:05,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:25:46,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-07 22:26:19,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:26:38,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:27:01,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:27:03,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:27:04,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:31:55,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:31:56,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:31:56,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:31:58,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 22:31:58,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:32:15,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 22:35:27,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 22:37:26,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-07 23:09:16,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 23:09:40,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-07 23:09:43,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 23:10:01,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-07 23:10:01,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 23:10:04,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-07 23:10:20,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-07 23:10:20,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 23:10:22,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 23:10:23,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 23:10:26,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-07 23:10:29,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-07 23:10:34,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-07 23:11:48,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:05:56,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:07:37,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:07:37,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:09:41,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:10:50,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:10:50,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:11:05,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:11:31,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:11:48,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:12:39,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:12:42,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:12:42,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:12:48,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-08 20:12:48,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-08 20:12:53,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:12:56,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-08 20:12:56,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-08 20:13:00,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:13:31,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:13:59,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:14:01,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:14:01,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:14:03,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:14:03,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:14:09,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:14:10,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-08 20:16:31,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:16:32,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:16:32,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:16:33,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:16:33,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:16:37,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:16:39,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:16:43,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:16:44,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:17:21,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:17:23,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:17:29,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:17:58,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:18:08,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:18:17,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:18:18,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-08 20:18:33,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:18:38,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:22:23,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:22:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:22:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:22:30,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:22:34,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:22:34,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:22:43,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:22:53,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:23:09,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:23:17,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-08 20:23:17,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-08 20:23:17,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-08 20:23:30,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:23:53,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:23:54,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:25:36,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:25:40,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:26:41,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:26:42,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:26:42,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:26:43,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:26:43,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:27:05,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:28:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:28:59,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:29:12,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 20:29:15,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 20:48:10,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 20:48:12,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 20:49:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:27:46,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:27:48,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:27:49,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:27:51,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:27:51,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:28:01,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:28:03,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:28:51,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:28:53,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:28:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:30:52,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:30:52,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:30:54,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:30:55,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:31:27,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-08 23:32:00,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:32:12,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-08 23:32:30,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:32:30,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:32:31,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:32:31,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-08 23:34:09,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-08 23:34:09,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 01:09:00,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:09:16,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:09:19,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:09:23,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:09:24,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:09:26,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 01:12:27,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:13:25,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:13:27,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:13:27,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:13:29,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:13:29,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:13:33,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:14:14,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:14:15,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:14:16,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:14:17,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:14:17,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:14:19,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:14:32,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:15:13,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:15:42,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:17:17,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:17:19,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:17:25,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:17:28,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:17:29,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:17:34,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:17:46,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:17:50,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:17:59,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:18:06,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:18:28,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:18:32,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:18:43,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:18:46,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:19:51,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:19:55,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:19:55,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:20:21,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:20:21,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:20:33,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:20:42,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:20:53,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:21:07,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:21:08,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:21:10,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:21:11,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:21:12,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:05,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:06,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:25:06,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:25:08,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:25:08,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:11,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:16,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:18,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:23,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:24,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:25,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:26,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:27,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:28,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:31,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:32,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:25:33,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:25:46,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 01:25:50,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:28:00,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:28:04,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 01:28:04,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:28:12,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:28:13,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:28:14,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 01:28:16,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:45:50,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 01:46:04,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 02:07:20,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:07:39,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:07:40,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:07:40,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:07:48,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:07:52,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:08:05,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 02:08:38,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:08:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:08:57,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:08:57,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:08:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:08:59,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:08,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:09:08,Client1,active window,Ввёл в браузер корпоративную информацию,Высокий уровень угрозы
2025-01-09 02:09:29,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:09:32,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:33,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:36,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:39,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:09:41,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:41,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:09:42,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:42,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:09:43,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:09:43,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:09:44,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:10:58,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:16:09,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:16:10,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:16:10,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:16:31,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:16:32,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:16:48,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:16:59,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:17:13,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:18:59,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:20:24,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:20:53,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:20:55,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:20:56,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:20:57,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:20:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:20:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:20:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:21:00,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:21:25,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:21:47,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 02:21:53,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 02:22:10,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 02:22:10,Client1,active window,Активировано окно программы ShellExperienceHost.exe,Низкий уровень угрозы
